#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-06-26T18:52:37 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5b32848e92e8	
#INFO	-out.max=1000	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=1000
#-order=I
#-out.src=J/ApJS/192/5/hetdex
#-nav=cat:J/ApJS/192/5&tab:{J/ApJS/192/5/hetdex}&key:source=J/ApJS/192/5/hetdex&HTTPPRM:&&-ref=VIZ5b32848e92e8&-out.max=1000&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HPS&-out=lambda&-out=FWHM&-out=S/N&-out=Flux&-out=Spat&-out=mag&-out=n_mag&-out=Prob&-out=EW&-out=EWint&-out=Trans&-out=z&-out=Lya&-out=X-ray&-out=RAJ2000&-out=DEJ2000&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJS/192/5/hetdex
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/192/5/hetdex
#-out=HPS
#-out=lambda
#-out=FWHM
#-out=S/N
#-out=Flux
#-out=Spat
#-out=mag
#-out=n_mag
#-out=Prob
#-out=EW
#-out=EWint
#-out=Trans
#-out=z
#-out=Lya
#-out=X-ray
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_21920005
#Name: J/ApJS/192/5
#Title: Emission-line galaxies from HETDEX pilot survey (Adams+, 2011)
#Table	J_ApJS_192_5_hetdex:
#Name: J/ApJS/192/5/hetdex
#Title: HETDEX pilot survey emission line catalog  and classification
#Column	HPS	(I3)	HETDEX Pilot Survey index number	[ucd=meta.id;meta.main]
#Column	lambda	(F7.2)	Observed emission wavelength (1)	[ucd=em.wl]
#Column	FWHM	(I4)	Emission line intrinsic FWHM (2)	[ucd=spect.line.width;spect.line]
#Column	S/N	(F5.1)	Emission line Signal-to-Noise	[ucd=stat.snr;spect.line]
#Column	Flux	(F6.1)	Emission line flux (in 10^-17^erg/cm^2^/s) (3)	[ucd=phot.flux;spect.line]
#Column	Spat	(F4.1)	Emission line spatial FWHM (3)	[ucd=phys.angSize]
#Column	mag	(F5.2)	? Counterpart R or i' band magnitude (1)	[ucd=phot.mag;em.opt]
#Column	n_mag	(A1)	Simbad column added by the CDS	[ucd=instr.bandpass]
#Column	Prob	(F5.2)	Probability of counterpart association	[ucd=meta.id.assoc;stat.probability]
#Column	EW	(F6.1)	Rest-frame equivalent width (2)	[ucd=spect.line.eqWidth]
#Column	EWint	(F6.1)	Interpolated rest-frame equivalent width (3)	[ucd=spect.line.eqWidth]
#Column	Trans	(a11)	Emission line transition (4)	[ucd=meta.id;phys.atmol.transition]
#Column	z	(F7.4)	Estimated redshift	[ucd=src.redshift]
#Column	Lya	(F5.2)	Probability emission line is Ly{alpha} (5)	[ucd=stat.fit.goodness]
#Column	X-ray	(A16)	X-ray counterpart identification (JHHMMSSs+DDMMSS)	[ucd=meta.id.cross]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
HPS	lambda	FWHM	S/N	Flux	Spat	mag	n_mag	Prob	EW	EWint	Trans	z	Lya	X-ray	RAJ2000	DEJ2000
267	4540.92	 284	  6.6	  12.5	 5.2	19.28	R	 1.00	   1.0	   5.6	[OII]      	 0.2184	 0.00	J100030.1+021845	10 00 30.37	+02 18 44.2
268	4768.98	 280	 22.0	  40.6	 4.3	20.15	R	 1.00	   7.6	  18.5	[OII]      	 0.2796	 0.00	                	10 00 30.60	+02 17 35.4
269	4334.67	 377	  6.7	  13.9	 6.4	25.37	R	 0.90	  94.6	 133.4	Ly{alpha}  	 2.5657	 1.00	                	10 00 30.60	+02 17 43.9
270	5682.31	 382	  7.1	   8.7	 2.8	22.74	R	 0.99	  21.2	  28.1	[OII]      	 0.5246	 0.01	                	10 00 30.61	+02 13 01.8
271	4544.56	 181	  8.3	  15.1	 5.2	20.39	R	 0.99	   3.4	  11.7	[OII]      	 0.2194	 0.01	                	10 00 31.36	+02 13 07.2
272	5483.45	 560	  7.5	  17.8	 5.1	22.57	R	 0.91	  35.7	  51.9	[OII]      	 0.4713	 0.09	                	10 00 31.68	+02 17 57.6
273	5635.92	 325	  5.1	  15.8	 6.9	     	R	 0.15	 374.5	 374.5	Ly{alpha}  	 3.6361	 1.00	                	10 00 31.98	+02 15 51.0
274	4703.77	 438	  8.3	  17.4	 5.6	24.38	R	 0.98	  51.3	  95.5	Ly{alpha}  	 2.8693	 1.00	                	10 00 32.12	+02 19 11.3
275	4649.99	 258	  7.7	  27.1	 7.1	22.14	R	 0.89	  30.8	  74.0	[OII]      	 0.2476	 0.11	                	10 00 32.44	+02 15 53.0
276	4423.45	 225	  6.4	   9.7	 3.5	21.41	R	 0.88	   5.4	  11.4	[OII]      	 0.1869	 0.01	                	10 00 32.70	+02 13 59.7
277	4870.97	  88	  7.5	   8.5	 3.8	19.84	R	 0.99	   1.4	   2.0	H{gamma}   	 0.1221	 0.00	                	10 00 32.84	+02 13 56.6
278	4183.75	 238	 38.7	 118.1	 4.7	19.84	R	 0.99	  14.6	  29.9	[OII]      	 0.1226	 0.01	                	10 00 32.85	+02 13 56.8
279	5619.24	  76	 66.3	 152.4	 4.9	19.87	R	 0.99	  34.8	  38.1	[OIII]5007 	 0.1223	 0.01	                	10 00 32.87	+02 13 56.4
280	5455.84	  78	 18.3	  36.8	 4.7	19.84	R	 0.99	   7.8	   8.6	H{beta}    	 0.1224	 0.00	                	10 00 32.87	+02 13 56.4
281	4341.91	  99	  7.1	  12.1	 5.0	19.84	R	 0.99	   1.7	   3.1	H{delta}   	 0.0585	 0.00	                	10 00 32.89	+02 13 56.1
282	4924.90	 271	 10.0	  33.8	 4.7	21.48	R	 0.99	  22.3	  42.4	[OII]      	 0.3214	 0.01	                	10 00 33.00	+02 15 32.1
283	5226.85	 575	  9.0	  22.1	 5.8	24.20	R	 0.94	  61.8	 108.1	Ly{alpha}  	 3.2996	 1.00	                	10 00 33.27	+02 18 24.6
284	4850.76	 320	 10.3	  22.1	 5.6	19.84	R	 1.00	   3.2	   7.3	[OII]      	 0.3015	 0.00	                	10 00 33.45	+02 13 08.5
285	5368.89	 377	 16.8	  42.0	 4.9	20.63	R	 1.00	  13.8	  23.5	[OII]      	 0.4405	 0.00	                	10 00 33.51	+02 16 14.2
286	3925.73	 688	  7.3	  28.4	 5.9	24.48	R	 0.54	  77.5	  81.4	Ly{alpha}  	 2.2293	 0.61	                	10 00 33.91	+02 13 17.9
287	5248.10	 357	  5.5	   6.0	 4.1	26.61	R	 0.33	 155.2	 248.3	Ly{alpha}  	 3.3170	 1.00	                	10 00 34.81	+02 17 42.4
288	4911.08	 471	  8.1	  11.9	 4.1	24.39	R	 0.89	  37.3	  50.3	Ly{alpha}  	 3.0398	 1.00	                	10 00 35.09	+02 17 49.4
289	5235.12	 428	  6.4	  17.1	 6.5	23.37	R	 0.63	  68.4	 146.0	[OII]      	 0.4046	 0.37	                	10 00 35.24	+02 18 07.3
290	5501.79	 453	 11.7	  43.5	 7.7	19.91	R	 1.00	   7.6	  17.0	[OII]      	 0.4762	 0.00	                	10 00 35.49	+02 18 38.8
291	5066.83	 526	  7.6	  27.4	 6.5	22.12	R	 0.94	  33.3	  71.3	[OII]      	 0.3595	 0.06	                	10 00 35.66	+02 12 22.3
292	4706.49	 406	 12.5	  30.1	 5.9	24.83	R	 0.41	 135.7	 285.9	Ly{alpha}  	 2.8715	 1.00	                	10 00 35.75	+02 18 58.1
293	5043.80	 228	  9.4	  20.8	 5.3	22.83	R	 0.88	  48.7	  82.8	[OII]      	 0.3533	 0.12	                	10 00 35.80	+02 19 00.7
294	5112.56	 184	  9.0	  61.3	 5.3	21.58	R	 0.98	  46.0	  72.2	[OII]      	 0.3718	 0.02	                	10 00 36.03	+02 15 26.9
295	4452.12	 339	  8.8	  24.4	 6.1	19.86	R	 1.00	   3.3	   9.8	[OII]      	 0.1946	 0.00	                	10 00 36.34	+02 13 17.6
296	4664.60	 368	  5.1	  11.1	 4.9	24.99	R	 0.23	  57.1	  80.8	Ly{alpha}  	 2.8371	 0.47	                	10 00 36.71	+02 13 09.8
297	4706.76	 284	 10.0	  67.4	 4.4	20.59	R	 0.97	  18.7	  40.8	[OII]      	 0.2629	 0.03	                	10 00 37.05	+02 15 08.9
298	5069.25	  84	  7.0	  11.5	 5.6	19.48	R	 1.00	   1.2	   3.2	[OII]      	 0.3601	 0.00	                	10 00 37.06	+02 13 34.5
299	4502.75	 266	  7.8	  31.9	 6.2	21.79	R	 0.99	  25.5	  58.7	[OII]      	 0.2081	 0.01	                	10 00 37.37	+02 16 12.7
300	4159.03	 182	 15.6	  41.8	 4.9	19.79	R	 1.00	   4.9	  12.4	[OII]      	 0.1159	 0.00	                	10 00 37.52	+02 12 54.6
301	5370.16	 273	 13.5	  24.1	 4.8	21.35	R	 1.00	  15.3	  23.6	[OII]      	 0.4409	 0.00	                	10 00 37.58	+02 18 47.9
302	5261.46	 341	  6.8	  14.7	 6.0	22.28	R	 0.96	  21.6	  35.8	[OII]      	 0.4117	 0.04	                	10 00 38.66	+02 18 03.9
303	4266.55	 143	  8.3	  31.1	 7.0	20.92	R	 0.99	  10.6	  27.8	[OII]      	 0.1448	 0.01	                	10 00 39.33	+02 12 46.5
304	5729.67	 225	  7.8	  32.4	 7.5	20.94	R	 0.63	  20.2	  23.7	[OIII]5007 	 0.1443	 0.37	                	10 00 39.49	+02 12 45.3
305	4937.93	 280	 15.6	  38.5	 5.5	21.06	R	 0.99	  17.3	  31.9	[OII]      	 0.3249	 0.01	                	10 00 39.58	+02 13 20.3
306	4180.67	 766	  6.0	  38.3	 7.1	24.07	R	 0.72	  75.6	  90.4	Ly{alpha}  	 2.4390	 1.00	                	10 00 39.61	+02 13 38.6
307	5369.06	 320	  6.8	  19.5	 5.6	20.86	R	 1.00	   7.9	  15.5	[OII]      	 0.4406	 0.00	                	10 00 40.03	+02 18 02.9
308	5622.45	 157	  7.5	  18.4	 5.4	22.11	R	 1.00	  24.8	  26.6	[OII]      	 0.5086	 0.00	                	10 00 40.04	+02 12 51.7
309	5177.91	 231	  6.7	  11.3	 5.5	22.44	R	 0.98	  20.9	  37.9	H{delta}   	 0.2623	 0.02	                	10 00 40.69	+02 18 32.4
310	4948.20	 532	  7.7	  10.7	 4.0	24.92	R	 0.72	  54.7	  79.5	Ly{alpha}  	 3.0703	 0.98	                	10 00 40.70	+02 17 41.5
311	5479.52	  78	  8.2	  10.2	 3.8	22.44	R	 0.99	  21.2	  37.0	H{gamma}   	 0.2623	 0.01	                	10 00 40.71	+02 18 31.9
312	4883.34	 318	  6.8	  11.0	 4.0	22.44	R	 0.97	  18.0	  34.3	[NeIII]3869	 0.2622	 0.03	                	10 00 40.75	+02 18 32.1
313	3765.58	 249	  5.9	  25.1	 5.0	22.75	R	 0.98	  13.4	  23.9	Ly{alpha}  	 2.0975	 1.00	                	10 00 40.78	+02 18 23.6
314	4414.31	 352	  6.8	  14.4	 3.7	     	R	 0.97	 435.4	 435.4	Ly{alpha}  	 2.6312	 1.00	                	10 00 41.09	+02 17 03.6
315	4949.89	 201	  6.5	   8.6	 3.2	24.35	R	 0.68	  26.3	  32.3	Ly{alpha}  	 3.0717	 1.00	                	10 00 41.45	+02 18 16.5
316	4628.37	 500	  9.1	  22.1	 3.7	24.12	R	 0.42	  50.5	  74.3	Ly{alpha}  	 2.8073	 0.47	                	10 00 42.78	+02 16 31.2
317	5510.02	 149	  9.2	  17.0	 4.6	23.08	R	 0.98	  54.8	  62.7	[OII]      	 0.4784	 0.02	                	10 00 42.92	+02 18 46.0
318	4201.16	 349	  5.6	  30.3	 8.0	23.69	R	 0.32	  42.7	  74.5	Ly{alpha}  	 2.4558	 0.67	                	10 00 44.13	+02 15 58.9
319	5371.69	 334	 15.0	  33.4	 4.6	21.12	R	 1.00	  17.3	  27.4	[OII]      	 0.4413	 0.00	                	10 00 44.23	+02 16 57.4
320	5447.36	 277	 20.4	  47.3	 4.8	20.23	R	 0.98	  10.9	  15.9	[OII]      	 0.4616	 0.00	                	10 00 44.27	+02 16 26.1
321	5004.99	 335	 11.4	  18.4	 4.0	21.90	R	 0.74	  18.2	  35.7	[OII]      	 0.3429	 0.07	                	10 00 44.39	+02 18 28.8
322	5057.65	 486	  7.5	  16.7	 4.7	21.14	R	 0.84	   8.2	  27.9	[OII]      	 0.3570	 0.08	                	10 00 44.57	+02 18 31.6
323	5617.75	 213	 15.3	  36.7	 5.1	19.88	R	 0.89	   8.5	   9.9	[OIII]5007 	 0.1220	 0.11	                	10 00 45.12	+02 18 22.0
324	5454.38	  78	  7.2	  19.4	 6.1	19.87	R	 0.90	   4.2	   5.1	H{beta}    	 0.1221	 0.10	                	10 00 45.15	+02 18 22.6
325	5565.71	 377	  5.6	  13.0	 4.6	19.87	R	 0.91	   2.9	   3.5	[OIII]4959 	 0.1223	 0.09	                	10 00 45.16	+02 18 22.7
326	4182.35	 250	 19.6	  75.8	 5.1	19.87	R	 0.97	   9.6	  24.9	[OII]      	 0.1222	 0.03	                	10 00 45.22	+02 18 23.4
327	3954.25	 549	  5.1	  15.5	 2.9	     	R	 0.04	 523.2	 523.2	Ly{alpha}  	 2.2527	 0.10	                	10 00 45.70	+02 16 58.7
328	5482.61	 334	  9.2	  20.2	 5.3	22.11	R	 0.93	  26.5	  40.3	[OII]      	 0.4711	 0.07	                	10 00 46.56	+02 19 12.4
329	5628.54	 398	 12.6	  41.9	 6.0	20.22	R	 1.00	   9.9	  16.8	[OII]      	 0.5102	 0.00	                	10 00 47.16	+02 18 00.0
330	4415.69	1160	  6.0	  22.6	 2.8	22.55	R	 0.95	  36.0	  68.7	[OII]      	 0.1848	 0.05	                	10 00 47.38	+02 17 08.7
331	5370.58	 349	  5.6	  10.3	 3.9	21.28	R	 0.98	   6.2	  14.0	[OII]      	 0.4410	 0.02	                	10 00 47.43	+02 17 18.4
332	4792.43	 399	 17.2	  43.5	 5.7	20.46	R	 0.99	  11.0	  25.4	[OII]      	 0.2859	 0.01	                	12 36 14.19	+62 11 48.5
333	4498.89	 182	  5.4	  17.2	 6.0	20.16	R	 1.00	   3.1	   9.5	[OII]      	 0.2071	 0.00	                	12 36 14.22	+62 14 13.6
334	4680.15	 440	 10.9	  29.2	 4.5	     	R	 0.00	 832.4	 912.6	Ly{alpha}  	 2.8499	 1.00	J1236150+621027 	12 36 15.03	+62 10 25.2
335	4790.74	 288	 35.2	  92.3	 4.6	19.58	R	 1.00	  10.3	  23.4	[OII]      	 0.2854	 0.00	                	12 36 15.85	+62 12 37.6
336	4983.93	 320	 19.9	  51.9	 4.6	20.70	R	 1.00	  16.8	  35.2	[OII]      	 0.3372	 0.00	                	12 36 15.98	+62 10 08.8
337	5355.81	 205	  7.6	  12.3	 4.9	23.53	R	 0.89	  58.2	  93.4	[OII]      	 0.4370	 0.11	                	12 36 16.55	+62 13 11.2
338	4378.80	1091	  6.3	  33.3	 5.0	26.00	R	 0.56	 410.3	 986.1	Ly{alpha}  	 2.6020	 1.00	                	12 36 17.32	+62 10 24.3
339	5788.86	  74	  8.9	  28.7	 4.5	20.45	R	 1.00	  11.6	  13.1	[OIII]5007 	 0.1562	 0.00	                	12 36 17.33	+62 14 17.7
340	4309.79	 204	 12.7	  49.5	 5.0	20.44	R	 1.00	  11.0	  22.4	[OII]      	 0.1564	 0.00	                	12 36 17.39	+62 14 17.4
341	4778.04	 298	  9.3	  12.8	 3.8	24.81	R	 0.97	  57.1	  87.1	Ly{alpha}  	 2.9304	 1.00	                	12 36 17.52	+62 13 10.0
342	4981.42	 295	  6.3	  21.4	 5.6	21.06	R	 1.00	   9.7	  21.0	[OII]      	 0.3366	 0.00	                	12 36 17.94	+62 14 58.1
343	5489.55	 355	  8.5	  15.3	 5.0	20.20	R	 0.94	   3.5	   8.6	[OII]      	 0.4729	 0.00	J1236194+621252 	12 36 19.44	+62 12 52.8
344	5208.24	 265	  9.3	  16.1	 4.0	22.86	R	 0.98	  40.2	  68.3	[OII]      	 0.3974	 0.02	                	12 36 19.78	+62 12 29.8
345	5421.39	  79	  6.3	   7.5	 3.3	21.72	R	 0.94	   6.8	  12.3	[OII]      	 0.4546	 0.01	                	12 36 20.00	+62 10 22.3
346	5013.95	 248	 16.6	  34.4	 4.9	21.58	R	 1.00	  25.2	  44.0	[OII]      	 0.3453	 0.00	                	12 36 20.35	+62 10 33.6
347	5430.04	 359	 11.0	  21.8	 4.2	20.89	R	 0.96	   9.2	  20.4	[OII]      	 0.4569	 0.04	                	12 36 20.79	+62 12 04.0
348	5212.45	 337	 12.7	  19.8	 4.0	20.47	R	 1.00	   5.4	  11.8	[OII]      	 0.3986	 0.00	                	12 36 21.51	+62 12 27.0
349	4753.43	 242	 10.2	  19.3	 5.2	21.18	R	 1.00	   9.3	  22.8	[OII]      	 0.2754	 0.00	                	12 36 22.19	+62 11 06.6
350	5433.23	 151	  6.8	  10.0	 4.2	20.91	R	 0.99	   4.3	   9.7	[OII]      	 0.4578	 0.00	J1236225+621240 	12 36 22.29	+62 12 42.3
351	5530.63	 352	  6.0	  33.7	 7.1	21.10	R	 1.00	  17.5	  33.2	[OII]      	 0.4839	 0.00	J1236230+621347 	12 36 23.05	+62 13 45.0
352	5821.14	  74	  5.4	   6.5	 3.1	23.92	R	 0.96	  48.2	  62.5	[OII]      	 0.5619	 0.04	                	12 36 23.22	+62 11 26.1
353	4585.74	 261	  8.8	  13.4	 3.2	21.38	R	 0.99	   7.5	  15.9	[OII]      	 0.2304	 0.01	                	12 36 24.36	+62 11 38.5
354	5802.59	 289	  9.5	  16.3	 4.1	21.04	R	 1.00	   8.5	  12.5	[OII]      	 0.5569	 0.00	                	12 36 26.61	+62 12 52.2
355	4670.42	 224	 18.7	  54.7	 5.5	20.77	R	 1.00	  17.7	  36.5	[OII]      	 0.2531	 0.00	                	12 36 27.46	+62 10 18.4
356	5698.97	 315	  9.0	  25.6	 7.1	22.84	R	 0.98	  68.2	 106.6	[OII]      	 0.5291	 0.02	                	12 36 29.24	+62 11 53.4
357	5429.19	 294	 11.9	  16.8	 3.8	21.00	R	 1.00	   7.9	  15.1	[OII]      	 0.4567	 0.00	                	12 36 30.34	+62 12 09.0
358	5360.73	 274	  5.7	   9.7	 4.8	21.59	R	 0.99	   7.7	  15.7	[OII]      	 0.4383	 0.01	                	12 36 30.69	+62 14 34.4
359	5429.68	 301	 25.8	  35.7	 3.8	21.85	R	 0.99	  36.6	  60.5	[OII]      	 0.4568	 0.01	J1236312+621237 	12 36 30.96	+62 12 36.6
360	4765.23	 523	  6.7	  18.7	 4.5	24.67	R	 0.47	  73.7	 234.1	Ly{alpha}  	 2.9198	 1.00	                	12 36 31.63	+62 11 38.7
361	5694.90	 273	 11.2	  24.4	 5.5	21.86	R	 0.93	  26.4	  41.3	[OII]      	 0.5280	 0.06	                	12 36 31.72	+62 12 40.9
362	5687.39	 193	  6.9	  25.6	 6.3	20.38	R	 0.98	   9.5	  11.8	[OIII]5007 	 0.1359	 0.00	                	12 36 32.41	+62 10 37.7
363	4234.58	 259	 14.9	  61.8	 5.6	20.37	R	 0.99	  12.6	  31.5	[OII]      	 0.1362	 0.01	                	12 36 32.48	+62 10 36.9
364	5243.26	  82	  7.5	  19.3	 5.7	20.55	R	 1.00	   7.5	   9.5	H{beta}    	 0.0786	 0.00	J1236331+621134 	12 36 33.01	+62 11 34.7
365	5400.18	  79	 16.7	  37.2	 5.6	20.55	R	 1.00	  15.3	  19.1	[OIII]5007 	 0.0785	 0.00	J1236331+621134 	12 36 33.05	+62 11 34.5
366	4020.31	 310	 14.7	  87.6	 5.8	20.55	R	 1.00	  20.0	  39.1	[OII]      	 0.0787	 0.00	J1236331+621134 	12 36 33.08	+62 11 33.3
367	5348.16	  80	  6.1	  19.2	 6.5	20.55	R	 1.00	   7.8	   9.7	[OIII]4959 	 0.0785	 0.00	J1236331+621134 	12 36 33.12	+62 11 34.7
368	5436.43	 337	 12.8	  20.9	 5.3	22.12	R	 0.99	  27.4	  54.4	[OII]      	 0.4587	 0.01	                	12 36 33.64	+62 11 56.7
369	5430.82	 565	 34.9	 106.7	 5.6	19.26	R	 1.00	  10.0	  25.2	[OII]      	 0.4572	 0.00	J1236345+621213 	12 36 34.35	+62 12 13.3
370	5079.20	 504	  6.3	  11.8	 4.5	25.45	R	 0.70	 100.9	 162.7	Ly{alpha}  	 3.1781	 0.97	                	12 36 34.49	+62 12 53.7
371	4660.93	 957	  6.0	  13.9	 3.7	23.45	R	 0.36	  22.2	  30.5	CIV1549    	 2.0090	 0.27	J1236356+621424 	12 36 35.34	+62 14 23.4
372	4569.17	 240	  5.8	  10.8	 4.5	26.26	R	 0.11	 176.5	 247.5	Ly{alpha}  	 2.7586	 1.00	                	12 36 35.75	+62 12 05.7
373	4755.83	 159	  5.9	  19.2	 5.9	     	R	 0.01	 539.5	 591.5	Ly{alpha}  	 2.9121	 0.01	                	12 36 35.93	+62 11 38.3
374	5398.94	  79	 59.2	 192.7	 5.9	18.02	R	 1.00	   7.7	  10.5	[OIII]5007 	 0.0783	 0.00	J1236372+621135 	12 36 36.62	+62 11 35.6
375	4019.81	 188	 52.1	 407.7	 6.4	18.02	R	 1.00	   9.1	  21.3	[OII]      	 0.0786	 0.00	J1236372+621135 	12 36 36.71	+62 11 35.3
376	5241.86	  82	 37.7	 141.3	 5.7	18.02	R	 1.00	   5.3	   7.5	H{beta}    	 0.0784	 0.00	J1236372+621135 	12 36 36.72	+62 11 35.2
377	5347.53	 153	 30.9	 100.0	 5.6	18.02	R	 1.00	   3.9	   5.4	[OIII]4959 	 0.0783	 0.00	J1236372+621135 	12 36 36.75	+62 11 34.8
378	4681.21	  91	 10.7	  17.3	 3.7	18.02	R	 1.00	   0.5	   0.8	H{gamma}   	 0.0784	 0.00	J1236372+621135 	12 36 36.88	+62 11 33.9
379	4167.90	1266	  9.8	  95.3	 4.6	18.02	R	 1.00	   2.3	   4.8	[NeIII]3869	 0.0773	 0.00	J1236372+621135 	12 36 36.90	+62 11 33.7
380	5436.16	 330	 26.7	  46.4	 4.4	20.86	R	 0.99	  19.1	  31.5	[OII]      	 0.4586	 0.01	                	12 36 37.43	+62 12 41.0
381	5528.52	  77	  6.4	   8.1	 4.0	20.86	R	 1.00	   3.4	   5.1	[OII]      	 0.4834	 0.00	                	12 36 37.57	+62 12 41.0
382	5449.15	 162	  6.1	   7.0	 4.4	23.72	R	 0.75	  39.9	  72.5	[OII]      	 0.4621	 0.25	                	12 36 38.36	+62 15 10.7
383	4726.80	  91	  7.0	  10.6	 4.7	19.70	R	 1.00	   1.5	   2.3	H{gamma}   	 0.0889	 0.00	J1236418+621132 	12 36 41.60	+62 11 31.4
384	5399.84	  79	 22.2	  38.7	 4.3	19.70	R	 1.00	   7.2	   9.0	[OIII]4959 	 0.0889	 0.00	J1236418+621132 	12 36 41.62	+62 11 32.2
385	5293.63	  81	 18.9	  40.3	 4.3	19.70	R	 1.00	   7.2	   9.2	H{beta}    	 0.0890	 0.00	J1236418+621132 	12 36 41.62	+62 11 32.1
386	4059.19	 231	 30.9	 153.4	 4.7	19.70	R	 1.00	  16.2	  34.5	[OII]      	 0.0891	 0.00	J1236418+621132 	12 36 41.69	+62 11 31.7
387	5451.96	  97	 25.6	  73.0	 5.4	19.70	R	 1.00	  13.9	  17.2	[OIII]5007 	 0.0889	 0.00	J1236418+621132 	12 36 41.72	+62 11 33.5
388	5342.22	 306	  7.4	  15.6	 4.6	21.07	R	 0.99	   7.6	  15.5	[OII]      	 0.4334	 0.01	                	12 36 41.76	+62 12 05.4
389	4362.38	 658	  7.9	  21.5	 4.0	24.46	R	 0.92	  63.5	 120.0	Ly{alpha}  	 2.5885	 1.00	                	12 36 41.77	+62 12 39.1
390	5712.72	 448	  8.5	  14.8	 4.6	22.21	R	 0.99	  22.2	  35.3	[OII]      	 0.5328	 0.01	                	12 36 42.33	+62 15 18.1
391	4812.62	 631	  6.3	  28.0	 6.0	24.58	R	 0.93	 102.3	 324.1	Ly{alpha}  	 2.9588	 1.00	                	12 36 42.51	+62 14 48.7
392	5418.34	 309	 17.8	  28.8	 4.5	20.89	R	 1.00	  12.2	  23.2	[OII]      	 0.4538	 0.00	                	12 36 42.74	+62 12 16.7
393	5777.46	 388	  6.7	  14.5	 5.0	22.19	R	 1.00	  21.5	  31.6	[OII]      	 0.5502	 0.00	                	12 36 43.04	+62 10 29.4
394	4476.90	 257	 14.0	  27.6	 5.6	20.90	R	 1.00	   9.7	  23.4	[OII]      	 0.2012	 0.00	                	12 36 43.75	+62 13 57.1
395	3979.36	 635	  6.0	  20.4	 6.8	24.09	R	 0.74	  39.2	  58.5	Ly{alpha}  	 2.2734	 1.00	                	12 36 43.86	+62 14 01.0
396	5799.52	 323	 31.8	  71.7	 6.0	21.14	R	 0.88	  40.8	  65.0	[OII]      	 0.5561	 0.00	J1236440+621250 	12 36 44.06	+62 12 49.7
397	5365.06	 164	  6.9	  10.5	 5.2	22.65	R	 0.56	  22.1	  36.4	[OII]      	 0.4395	 0.08	                	12 36 45.20	+62 13 27.7
398	5423.82	 162	  6.1	   4.5	 4.2	23.06	R	 0.85	  14.1	  26.3	[OII]      	 0.4553	 0.14	                	12 36 45.21	+62 12 01.1
399	4922.49	 213	  9.3	  14.0	 4.8	21.03	R	 0.95	   6.1	  13.9	[OII]      	 0.3208	 0.05	                	12 36 45.84	+62 13 27.3
400	5651.77	  76	  7.2	   5.9	 2.5	23.75	R	 0.59	  48.1	  50.2	[OIII]     	 0.1290	 0.01	J1236463+621405 	12 36 46.37	+62 14 08.4
401	3649.39	1118	  7.9	 103.2	 6.8	     	R	 0.01	3774.9	4138.8	Ly{alpha}  	 2.0020	 1.00	J1236467+621446 	12 36 46.43	+62 14 45.8
402	4821.05	 630	  8.3	  16.8	 3.9	25.27	R	 0.43	 115.5	 220.0	Ly{alpha}  	 2.9658	 1.00	                	12 36 46.86	+62 12 27.4
403	5079.54	 161	  6.3	  10.2	 5.2	24.65	R	 0.29	  41.9	  66.9	Ly{alpha}  	 3.1784	 0.39	                	12 36 47.06	+62 15 13.4
404	4922.80	 332	 22.5	  39.5	 5.6	21.06	R	 0.97	  17.7	  34.4	[OII]      	 0.3208	 0.03	J1236470+621238 	12 36 47.11	+62 12 36.6
405	5304.54	 353	  7.0	  13.0	 6.4	22.67	R	 0.47	  27.6	  46.0	[OII]      	 0.4233	 0.04	                	12 36 47.13	+62 12 32.6
406	5715.47	 209	  7.4	  10.6	 4.1	21.69	R	 0.90	   9.9	  15.9	[OII]      	 0.5335	 0.10	                	12 36 47.53	+62 15 14.3
407	5535.68	  77	 25.4	  43.6	 4.7	19.05	R	 1.00	   4.5	   5.5	H{beta}    	 0.1388	 0.00	J1236484+621426 	12 36 47.95	+62 14 26.8
408	5646.82	 122	 12.9	  22.6	 5.0	19.05	R	 1.00	   2.4	   2.9	[OIII]4959 	 0.1387	 0.00	J1236484+621426 	12 36 48.03	+62 14 26.6
409	5701.44	 133	 36.2	  67.3	 4.8	19.06	R	 1.00	   7.4	   8.6	[OIII]5007 	 0.1387	 0.00	J1236484+621426 	12 36 48.07	+62 14 27.2
410	5496.03	 534	 16.1	  49.3	 6.9	20.85	R	 0.99	  20.3	  59.7	[OII]      	 0.4747	 0.01	J1236481+621309 	12 36 48.10	+62 13 10.6
